,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
978,17000,СМОЛЕНСК-СОРТ,СМОЛЕНСК-СОРТИРОВОЧНЫЙ,Смоленская область,Московская,"('54.797585', '32.034188')",54.797585,32.034188
979,17010,СМОЛЕНСК,СМОЛЕНСК,Смоленская область,Московская,"('54.797585', '32.034188')",54.797585,32.034188
980,17080,ЕЛЬНЯ,ЕЛЬНЯ,Смоленская область,Московская,"('54.574144', '33.169935')",54.574144,33.169935
981,17110,ГНЕЗДОВО,ГНЕЗДОВО,Смоленская область,Московская,"('54.779473', '31.862471')",54.779473,31.862471
982,17130,ГУСИНО,ГУСИНО,Смоленская область,Московская,"('54.725387', '31.369076')",54.725387,31.369076
983,17140,КРАСНОЕ-Э,КРАСНОЕ (ЭКСП.),Смоленская область,Московская,"('54.682682', '31.034721')",54.682682,31.034721
984,17160,КРАСНЫЙ БОР,КРАСНЫЙ БОР,Смоленская область,Московская,"('54.800117', '31.903409')",54.800117,31.903409
985,17170,ГОЛЫНКИ,ГОЛЫНКИ,Смоленская область,Московская,"('54.867694', '31.388403')",54.867694,31.388403
986,17190,РУДНЯ,РУДНЯ,Смоленская область,Московская,"('54.947095', '31.063719')",54.947095,31.063719
987,17200,РУДНЯ-Э,РУДНЯ (ЭКСП.),Смоленская область,Московская,"('54.947095', '31.063719')",54.947095,31.063719
988,17210,КАРДЫМОВО,КАРДЫМОВО,Смоленская область,Московская,"('54.884608', '32.448757')",54.884608,32.448757
989,17230,ЯРЦЕВО,ЯРЦЕВО,Смоленская область,Московская,"('55.06731', '32.653614')",55.06731,32.653614
990,17240,МИЛОХОВО,МИЛОХОВО,Смоленская область,Московская,"('55.069007', '32.789871')",55.069007,32.789871
991,17250,САФОНОВО,САФОНОВО,Смоленская область,Московская,"('55.105039', '33.243069')",55.105039,33.243069
992,17270,АЗОТНАЯ,АЗОТНАЯ,Смоленская область,Московская,"('54.97865', '33.359705')",54.97865,33.359705
993,17300,ИГОРЕВСКАЯ,ИГОРЕВСКАЯ,Смоленская область,Московская,"('55.45663', '33.295889')",55.45663,33.295889
994,17340,ИЗДЕШКОВО,ИЗДЕШКОВО,Смоленская область,Московская,"('55.141187', '33.621178')",55.141187,33.621178
995,17360,СЕМЛЕВО,СЕМЛЕВО,Смоленская область,Московская,"('55.146283', '33.994403')",55.146283,33.994403
996,17380,СЫЧЕВКА,СЫЧЕВКА,Смоленская область,Московская,"('55.84411', '34.294772')",55.84411,34.294772
997,17390,НОВОДУГИНСКАЯ,НОВОДУГИНСКАЯ,Смоленская область,Московская,"('55.631939', '34.296591')",55.631939,34.296591
998,17410,ВЯЗЬМА-НОВОТ,ВЯЗЬМА-НОВОТОРЖСКАЯ,Смоленская область,Московская,"('55.227139', '34.322287')",55.227139,34.322287
999,17430,ВЯЗЬМА,ВЯЗЬМА,Смоленская область,Московская,"('55.198969', '34.317809')",55.198969,34.317809
1000,17440,ВЯЗЬМА-БРЯНС,ВЯЗЬМА-БРЯНСКАЯ,Смоленская область,Московская,"('55.170059', '34.369234')",55.170059,34.369234
1001,17460,ВОЛОСТА-ПЯТН,ВОЛОСТА-ПЯТНИЦА,Смоленская область,Московская,"('54.991172', '34.342489')",54.991172,34.342489
1002,17470,УГРА,УГРА,Смоленская область,Московская,"('54.779028', '34.342346')",54.779028,34.342346
1003,17520,ТУМАНОВО,ТУМАНОВО,Смоленская область,Московская,,,
1004,17540,ГАГАРИН,ГАГАРИН,Смоленская область,Московская,"('55.543502', '34.985132')",55.543502,34.985132
1005,17560,УВАРОВКА,УВАРОВКА,Московская область,Московская,"('55.532645', '35.609776')",55.532645,35.609776
1006,17580,БОРОДИНО,БОРОДИНО,Московская область,Московская,"('55.495975', '35.862587')",55.495975,35.862587
1007,17620,ВАЛУТИНО,ВАЛУТИНО,Смоленская область,Московская,"('54.760853', '32.215521')",54.760853,32.215521
1008,17630,ТЫЧИНИНО,ТЫЧИНИНО,Смоленская область,Московская,"('54.690171', '32.230558')",54.690171,32.230558
1009,17640,НОВОСМОЛЕНСКАЯ,НОВОСМОЛЕНСКАЯ,Смоленская область,Московская,"('54.784768', '32.099782')",54.784768,32.099782
1010,17660,РЯБЦЕВО,РЯБЦЕВО,Смоленская область,Московская,"('54.642482', '32.343912')",54.642482,32.343912
1011,17680,ПОЧИНОК,ПОЧИНОК,Смоленская область,Московская,"('54.406852', '32.442538')",54.406852,32.442538
1012,17690,ЭНГЕЛЬГАРД,ЭНГЕЛЬГАРДТОВСКАЯ,Смоленская область,Московская,"('54.334058', '32.507443')",54.334058,32.507443
1013,17700,СТОДОЛИЩЕ,СТОДОЛИЩЕ,Смоленская область,Московская,"('54.18278', '32.64688')",54.18278,32.64688
1014,17730,КОЗЛОВКА,КОЗЛОВКА,Смоленская область,Московская,"('53.987899', '32.829884')",53.987899,32.829884
1015,17740,РОСЛАВЛЬ I,РОСЛАВЛЬ I,Смоленская область,Московская,"('53.953626', '32.874647')",53.953626,32.874647
1016,17780,ПОНЯТОВКА,ПОНЯТОВКА,Смоленская область,Московская,"('53.796054', '32.47366')",53.796054,32.47366
1017,17790,ПОНЯТОВКА-Э,ПОНЯТОВКА (ЭКСП.),Смоленская область,Московская,"('53.796054', '32.47366')",53.796054,32.47366
1018,17800,АСЕЛЬЕ,АСЕЛЬЕ,Смоленская область,Московская,"('53.943873', '33.239337')",53.943873,33.239337
1019,17830,СЕЩИНСКАЯ,СЕЩИНСКАЯ,Брянская область,Московская,"('53.736402', '33.335946')",53.736402,33.335946
1020,17840,ДУБРОВКА,ДУБРОВКА,Брянская область,Московская,"('53.689948', '33.497984')",53.689948,33.497984
1021,17850,ЖУКОВКА,ЖУКОВКА,Брянская область,Московская,"('53.530754', '33.725011')",53.530754,33.725011
1022,17870,КЛЕТНЯ,КЛЕТНЯ,Брянская область,Московская,"('53.390812', '33.211417')",53.390812,33.211417
1023,17880,ТРОСНА,ТРОСНА,Брянская область,Московская,"('53.475015', '33.795496')",53.475015,33.795496
1024,17890,РЖАНИЦА,РЖАНИЦА,Брянская область,Московская,"('53.430784', '33.913302')",53.430784,33.913302
1025,17900,СЕЛЬЦО,СЕЛЬЦО,Брянская область,Московская,"('53.367596', '34.100587')",53.367596,34.100587
1026,17910,ОРДЖОНИКИДЗЕ,ОРДЖОНИКИДЗЕГРАД,Брянская область,Московская,"('53.314101', '34.308239')",53.314101,34.308239
1027,18000,БЕКАСОВО-СОРТ,БЕКАСОВО-СОРТИРОВОЧНОЕ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.419592', '36.870633')",55.419592,36.870633
1028,18010,АКУЛОВО,АКУЛОВО,Московская область,Московская,"('55.502174', '36.688539')",55.502174,36.688539
1029,18020,ОЧАКОВО I,ОЧАКОВО I,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.683487', '37.450988')",55.683487,37.450988
1030,18050,СОЛНЕЧНАЯ,СОЛНЕЧНАЯ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.657184', '37.384538')",55.657184,37.384538
1031,18060,ВНУКОВО,ВНУКОВО,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.649166', '37.270064')",55.649166,37.270064
1032,18070,АЭРОПОРТ,АЭРОПОРТ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.606821', '37.286973')",55.606821,37.286973
1033,18080,ТОЛСТОПАЛЬЦ,ТОЛСТОПАЛЬЦЕВО,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.607575', '37.186056')",55.607575,37.186056
1034,18090,КРЕКШИНО,КРЕКШИНО,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.578244', '37.109903')",55.578244,37.109903
1035,18100,АПРЕЛЕВКА,АПРЕЛЕВКА,Московская область,Московская,"('55.550478', '37.066977')",55.550478,37.066977
1036,18110,СЕЛЯТИНО,СЕЛЯТИНО,Московская область,Московская,"('55.516409', '36.967244')",55.516409,36.967244
1037,18120,САНДАРОВО,САНДАРОВО,Московская область,Московская,"('55.257625', '37.446593')",55.257625,37.446593
1038,18140,КРЕСТЫ,КРЕСТЫ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.275202', '37.114089')",55.275202,37.114089
1039,18160,ФИЛИ,ФИЛИ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.744348', '37.514733')",55.744348,37.514733
1040,18180,КУНЦЕВО II,КУНЦЕВО II,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.72964', '37.393947')",55.72964,37.393947
1041,18210,УСОВО,УСОВО,Московская область,Московская,"('55.730016', '37.21636')",55.730016,37.21636
1042,18220,ОДИНЦОВО,ОДИНЦОВО,Московская область,Московская,"('55.671248', '37.280474')",55.671248,37.280474
1043,18230,ГОЛИЦЫНО,ГОЛИЦЫНО,Московская область,Московская,"('55.615803', '36.987246')",55.615803,36.987246
1044,18240,ЗВЕНИГОРОД,ЗВЕНИГОРОД,Московская область,Московская,"('55.69861', '36.873154')",55.69861,36.873154
1045,18250,ПЕТЕЛИНО,ПЕТЕЛИНО,Московская область,Московская,"('55.601665', '36.820981')",55.601665,36.820981
1046,18260,КУБИНКА I,КУБИНКА I,Московская область,Московская,"('55.579533', '36.691324')",55.579533,36.691324
1047,18270,КУБИНКА II,КУБИНКА II,Московская область,Московская,"('55.599891', '36.725428')",55.599891,36.725428
1048,18290,ТУЧКОВО,ТУЧКОВО,Московская область,Московская,"('55.595867', '36.468823')",55.595867,36.468823
1049,18300,ДОРОХОВО,ДОРОХОВО,Московская область,Московская,"('55.54671', '36.371941')",55.54671,36.371941
1050,18320,МОЖАЙСК,МОЖАЙСК,Московская область,Московская,"('55.49345', '36.033239')",55.49345,36.033239
1051,18330,НАРА,НАРА,Московская область,Московская,"('55.383393', '36.749966')",55.383393,36.749966
1052,18340,ЛАТЫШСКАЯ,ЛАТЫШСКАЯ,Московская область,Московская,"('55.357758', '36.703766')",55.357758,36.703766
1053,18350,ВОРСИНО,ВОРСИНО,Калужская область,Московская,"('55.240923', '36.666645')",55.240923,36.666645
1054,18360,БАЛАБАНОВО,БАЛАБАНОВО,Калужская область,Московская,"('55.179099', '36.661788')",55.179099,36.661788
1055,18370,ОБНИНСКОЕ,ОБНИНСКОЕ,Калужская область,Московская,"('55.092623', '36.617317')",55.092623,36.617317
1056,18380,ШЕМЯКИНО,ШЕМЯКИНО,Калужская область,Московская,"('55.053348', '36.554625')",55.053348,36.554625
1057,18390,МАЛОЯРОСЛАВ,МАЛОЯРОСЛАВЕЦ,Калужская область,Московская,"('55.00887', '36.479865')",55.00887,36.479865
1058,18410,СУХОДРЕВ,СУХОДРЕВ,Калужская область,Московская,"('54.807381', '36.318958')",54.807381,36.318958
1059,18420,ТИХОНОВА ПУСТЫНЬ,ТИХОНОВА ПУСТЫНЬ,Калужская область,Московская,"('54.641799', '36.153949')",54.641799,36.153949
1060,18440,КАЛУГА II,КАЛУГА II,Калужская область,Московская,"('54.531556', '36.294376')",54.531556,36.294376
1061,18450,ВОРОТЫНСК,ВОРОТЫНСК,Калужская область,Московская,"('54.465943', '36.038371')",54.465943,36.038371
1062,18460,БАБЫНИНО,БАБЫНИНО,Калужская область,Московская,"('54.389057', '35.739862')",54.389057,35.739862
1063,18480,КУДРИНСКАЯ,КУДРИНСКАЯ,Калужская область,Московская,"('54.249784', '35.542975')",54.249784,35.542975
1064,18500,СУХИНИЧИ,СУХИНИЧИ,Калужская область,Московская,"('54.11829', '35.343758')",54.11829,35.343758
1065,18510,КОЗЕЛЬСК,КОЗЕЛЬСК,Калужская область,Московская,"('54.037167', '35.757696')",54.037167,35.757696
1066,18520,СУХИНИЧИ-ГЛ,СУХИНИЧИ-ГЛАВНЫЕ,Калужская область,Московская,"('54.086965', '35.318609')",54.086965,35.318609
1067,18540,ДУМИНИЧИ,ДУМИНИЧИ,Калужская область,Московская,"('53.931021', '35.116453')",53.931021,35.116453
1068,18550,ПАЛИКИ,ПАЛИКИ,Калужская область,Московская,"('53.844641', '34.983097')",53.844641,34.983097
1069,18570,СУДИМИР,СУДИМИР,Калужская область,Московская,"('53.605979', '34.786579')",53.605979,34.786579
1070,18620,ФАЯНСОВАЯ,ФАЯНСОВАЯ,Калужская область,Московская,"('54.066618', '34.37536')",54.066618,34.37536
1071,18630,ПОДПИСНАЯ,ПОДПИСНАЯ,Калужская область,Московская,"('54.080175', '34.260102')",54.080175,34.260102
1072,18640,БЕТЛИЦА,БЕТЛИЦА,Калужская область,Московская,"('54.012282', '33.945997')",54.012282,33.945997
1073,18680,ЛЮДИНОВО I,ЛЮДИНОВО I,Калужская область,Московская,"('53.864193', '34.461393')",53.864193,34.461393
1074,18690,ЛЮДИНОВО II,ЛЮДИНОВО II,Калужская область,Московская,"('53.858511', '34.421911')",53.858511,34.421911
1075,18700,ШАЙКОВКА,ШАЙКОВКА,Калужская область,Московская,"('54.233866', '34.361395')",54.233866,34.361395
1076,18750,БАРЯТИНСКАЯ,БАРЯТИНСКАЯ,Калужская область,Московская,"('54.30907', '34.526469')",54.30907,34.526469
1077,18770,СПАС-ДЕМЕНСК,СПАС-ДЕМЕНСК,Калужская область,Московская,"('54.41338', '34.031242')",54.41338,34.031242
1078,18790,ФЕРЗИКОВО,ФЕРЗИКОВО,Калужская область,Московская,"('54.51455', '36.764101')",54.51455,36.764101
1079,18810,ПЕРСПЕКТИВНАЯ,ПЕРСПЕКТИВНАЯ,Калужская область,Московская,"('54.555427', '36.307683')",54.555427,36.307683
1080,18820,КАЛУГА I,КАЛУГА I,Калужская область,Московская,"('54.533483', '36.279355')",54.533483,36.279355
1081,18860,АЗАРОВО,АЗАРОВО,Калужская область,Московская,"('54.56607', '36.244296')",54.56607,36.244296
1082,18890,ПЯТОВСКАЯ,ПЯТОВСКАЯ,Калужская область,Московская,"('54.690999', '36.072585')",54.690999,36.072585
1083,18900,ШАНЯ,ШАНЯ,Калужская область,Московская,"('54.695769', '35.973384')",54.695769,35.973384
1084,18910,ПОЛОТНЯНЫЙ ЗАВОД,ПОЛОТНЯНЫЙ ЗАВОД,Калужская область,Московская,"('54.731155', '35.971886')",54.731155,35.971886
1085,18920,ГОВАРДОВО,ГОВАРДОВО,Калужская область,Московская,"('54.774951', '35.914029')",54.774951,35.914029
1086,18930,МЯТЛЕВСКАЯ,МЯТЛЕВСКАЯ,Калужская область,Московская,"('54.89221', '35.67586')",54.89221,35.67586
1087,18950,ИЗНОСКИ,ИЗНОСКИ,Калужская область,Московская,"('54.986949', '35.313106')",54.986949,35.313106
1088,18960,ТЕМКИНО,ТЕМКИНО,Смоленская область,Московская,"('55.083209', '35.010351')",55.083209,35.010351
1089,19000,ЛЮБЛИНО-СОРТ,ЛЮБЛИНО-СОРТИРОВОЧНОЕ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.68531', '37.734242')",55.68531,37.734242
1090,19020,СЕРПУХОВ,СЕРПУХОВ,Московская область,Московская,"('54.93475', '37.451821')",54.93475,37.451821
1091,19030,СЕРПУХОВ-ВЕТКА,СЕРПУХОВ-ВЕТКА,Московская область,Московская,"('54.93489', '37.451727')",54.93489,37.451727
1092,19040,ШАРАПОВА ОХОТА,ШАРАПОВА ОХОТА,Московская область,Московская,"('55.040487', '37.47765')",55.040487,37.47765
1093,19050,ЧЕХОВ,ЧЕХОВ,Московская область,Московская,"('55.148945', '37.489978')",55.148945,37.489978
1094,19060,СТОЛБОВАЯ,СТОЛБОВАЯ,Московская область,Московская,"('55.248827', '37.494094')",55.248827,37.494094
1095,19070,ДЕТКОВО,ДЕТКОВО,Московская область,Московская,"('55.218135', '37.519281')",55.218135,37.519281
1096,19080,ГРИВНО,ГРИВНО,Московская область,Московская,"('55.357309', '37.527373')",55.357309,37.527373
1097,19090,ПОДОЛЬСК,ПОДОЛЬСК,Московская область,Московская,"('55.432224', '37.565615')",55.432224,37.565615
1098,19100,СИЛИКАТНАЯ,СИЛИКАТНАЯ,Московская область,Московская,"('55.471398', '37.555292')",55.471398,37.555292
1099,19110,ЩЕРБИНКА,ЩЕРБИНКА,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.509732', '37.561994')",55.509732,37.561994
1100,19140,КРАСНЫЙ СТР,КРАСНЫЙ СТРОИТЕЛЬ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.590418', '37.615167')",55.590418,37.615167
1101,19180,КАШИРА-ПАС,КАШИРА-ПАССАЖИРСКАЯ,Московская область,Московская,"('54.857917', '38.190041')",54.857917,38.190041
1102,19190,КАШИРА-ТОВ,КАШИРА-ТОВАРНАЯ,Московская область,Московская,"('54.857917', '38.190041')",54.857917,38.190041
1103,19200,АКРИ,АКРИ,Московская область,Московская,"('54.872073', '38.121967')",54.872073,38.121967
1104,19210,СТУПИНО,СТУПИНО,Московская область,Московская,"('54.908878', '38.079621')",54.908878,38.079621
1105,19220,ЖИЛЕВО,ЖИЛЕВО,Московская область,Московская,"('54.985937', '38.031726')",54.985937,38.031726
1106,19230,НЕПЕЦИНО,НЕПЕЦИНО,Московская область,Московская,"('55.212467', '38.578464')",55.212467,38.578464
1107,19250,СОТНИКОВО,СОТНИКОВО,Московская область,Московская,"('55.05905', '38.15225')",55.05905,38.15225
1108,19260,МИХНЕВО,МИХНЕВО,Московская область,Московская,"('55.120938', '37.960944')",55.120938,37.960944
1109,19240,МАЛИНО,МАЛИНО,Московская область,Московская,,,
1110,19270,БАРЫБИНО,БАРЫБИНО,Московская область,Московская,"('55.267726', '37.896675')",55.267726,37.896675
1111,19280,БЕЛЫЕ СТОЛБЫ,БЕЛЫЕ СТОЛБЫ,Московская область,Московская,"('55.334891', '37.849199')",55.334891,37.849199
1112,19290,ДОМОДЕДОВО,ДОМОДЕДОВО,Московская область,Московская,"('55.440764', '37.772593')",55.440764,37.772593
1113,19300,АВИАЦИОННАЯ,АВИАЦИОННАЯ,Московская область,Московская,"('55.420327', '37.832672')",55.420327,37.832672
1114,19310,КОСМОС,КОСМОС,Московская область,Московская,"('55.427927', '37.88223')",55.427927,37.88223
1115,19320,ЧЕРТАНОВО,ЧЕРТАНОВО,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.630939', '37.627348')",55.630939,37.627348
1116,19330,БИРЮЛЕВО-ТОВ,БИРЮЛЕВО-ТОВАРНАЯ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.592827', '37.653874')",55.592827,37.653874
1117,19340,КОЛОМЕНСКОЕ,КОЛОМЕНСКОЕ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.654803', '37.622143')",55.654803,37.622143
1118,19350,МОСКВА-Т-ПАВ,МОСКВА-ТОВАРНАЯ-ПАВЕЛЕЦКАЯ,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.718824', '37.642415')",55.718824,37.642415
1119,19370,КУСКОВО,КУСКОВО,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.73968', '37.795376')",55.73968,37.795376
1120,19380,ПЕРОВО,ПЕРОВО,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.735818', '37.764368')",55.735818,37.764368
1121,19390,МОСКВА-П-КАЗ,МОСКВА-ПАССАЖИРСКАЯ-КАЗАНСКАЯ,Город Москва столица Российской Федерации город федерального значения,Московская,,,
1122,19420,ЛЮБЕРЦЫ I,ЛЮБЕРЦЫ I,Московская область,Московская,"('55.682345', '37.896621')",55.682345,37.896621
1123,19430,ЛЮБЕРЦЫ II,ЛЮБЕРЦЫ II,Московская область,Московская,"('55.672788', '37.932545')",55.672788,37.932545
